GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000143772	1	226819391	226927024	180	28	3506440	2.743	0.0030437	ITPKB
ENSG00000143801	1	227057885	227083806	69	8	3512368	6.5749	2.4337e-11	PSEN2
ENSG00000163050	1	227085237	227175246	168	35	3545823	5.0123	2.6898e-07	ADCK3
ENSG00000143776	1	227177566	227506175	1141	25	3540270	2.0461	0.020371	CDC42BPA
ENSG00000181450	1	227751244	227865144	219	16	3510870	1.1741	0.12018	ZNF678
ENSG00000143740	1	227916240	227968927	100	14	3527876	1.0234	0.15307	SNAP47
ENSG00000081692	1	227918126	227923112	13	5	3553309	1.1818	0.11865	JMJD4
ENSG00000185888	1	228003394	228034171	82	15	3537218	0.36231	0.35856	PRSS38
ENSG00000143816	1	228106357	228135599	69	8	3556235	1.3408	0.089987	WNT9A
ENSG00000154342	1	228194752	228248961	83	10	3525338	2.2499	0.012228	WNT3A
ENSG00000143761	1	228270361	228286912	21	5	3531384	1.6793	0.046546	ARF1
ENSG00000143793	1	228288427	228293112	4	2	3475211	0.5817	0.28039	C1orf35
ENSG00000162910	1	228294380	228297013	1	1	3583863	0.12617	0.4498	MRPL55
ENSG00000143774	1	228327663	228336685	10	3	3526569	0.095702	0.46188	GUK1
ENSG00000198835	1	228337553	228347527	9	3	3576756	0.19916	0.42107	GJC2
ENSG00000181873	1	228353516	228369958	17	5	3514763	-0.10036	0.53997	IBA57
ENSG00000162913	1	228391207	228401365	17	2	3529728	-0.6255	0.73418	C1orf145
ENSG00000154358	1	228395831	228566577	440	23	3535043	-0.6637	0.74656	OBSCN
ENSG00000154370	1	228581374	228594541	20	5	3507295	-0.55937	0.71204	TRIM11
ENSG00000162931	1	228595641	228604562	10	3	3538378	-1.7142	0.95675	TRIM17
ENSG00000168148	1	228612546	228613026	2	1	3487952	0.4837	0.3143	HIST3H3
ENSG00000168159	1	228674762	228683467	20	6	3507552	0.056163	0.47761	RNF187
ENSG00000116574	1	228870824	228882416	41	6	3545325	2.3996	0.0082065	RHOU
ENSG00000177800	1	229385383	229387557	2	1	3583863	1.331	0.091589	TMEM78
ENSG00000168118	1	229406822	229441641	66	7	3529977	3.492	0.00023971	RAB4A
ENSG00000213029	1	229440129	229441248	1	1	3583863	1.7117	0.04348	SPHAR
ENSG00000154429	1	229456758	229479041	41	6	3516938	3.7591	8.5262e-05	CCSAP
ENSG00000143632	1	229566992	229569845	4	1	3583863	-0.68116	0.75212	ACTA1
ENSG00000069248	1	229577045	229644103	71	6	3524455	-0.16739	0.56647	NUP133
ENSG00000135776	1	229652329	229694442	44	6	3485010	-0.82085	0.79413	ABCB10
ENSG00000135801	1	229728858	229761794	60	10	3530411	0.23055	0.40883	TAF5L
ENSG00000135763	1	229761981	229795946	55	7	3546987	0.35378	0.36175	URB2
ENSG00000143641	1	230193536	230417870	654	58	3520214	2.7636	0.0028585	GALNT2
ENSG00000177614	1	230457392	230561475	351	33	3530516	3.2356	0.00060704	PGBD5
ENSG00000135775	1	230778235	230829728	154	25	3530761	0.92046	0.17867	COG2
ENSG00000135744	1	230838269	230850043	49	9	3545771	0.051186	0.47959	AGT
ENSG00000135773	1	230883130	230937749	236	28	3542898	-0.22655	0.58961	CAPN9
ENSG00000119280	1	230972865	231005335	72	16	3549968	2.1742	0.014843	C1orf198
ENSG00000143643	1	231041989	231114621	222	20	3550666	2.4734	0.0066917	TTC13
ENSG00000173409	1	231114727	231136341	55	7	3527360	1.6901	0.045503	ARV1
ENSG00000182118	1	231154704	231175992	95	18	3525051	-0.45127	0.6741	FAM89A
ENSG00000119283	1	231297858	231357302	147	24	3544306	0.86758	0.19281	TRIM67
ENSG00000143633	1	231359509	231376933	34	8	3532005	-1.0451	0.85201	C1orf131
ENSG00000116906	1	231376953	231413719	69	6	3520238	0.6669	0.25242	GNPAT
ENSG00000116903	1	231468480	231473598	5	2	3435465	-1.3576	0.91271	EXOC8
ENSG00000010072	1	231472850	231490769	43	5	3506639	-0.091926	0.53662	SPRTN
ENSG00000135766	1	231499497	231560790	235	8	3541039	-0.19873	0.57876	EGLN1
ENSG00000116918	1	231664399	231702270	43	10	3525812	-0.67504	0.75017	TSNAX
ENSG00000270106	1	231664399	231954990	487	47	3519530	0.35256	0.36221	TSNAX-DISC1
ENSG00000162946	1	231762561	232177018	880	94	3532426	2.3779	0.0087048	DISC1
ENSG00000116991	1	232533711	232697304	411	28	3532314	1.6311	0.051438	SIPA1L2
ENSG00000212916	1	232940643	232946092	11	3	3569099	1.6305	0.051494	MAP10
ENSG00000135778	1	233086351	233119628	71	8	3559453	-0.24699	0.59754	NTPCR
ENSG00000135749	1	233119181	233431459	982	61	3535630	1.1539	0.12427	PCNXL2
ENSG00000143674	1	233463514	233520894	181	19	3553164	1.7819	0.037382	MLK4
ENSG00000135750	1	233749750	233808258	121	22	3534189	-0.1778	0.57056	KCNK1
ENSG00000183780	1	234040679	234460262	1234	97	3525920	2.6994	0.0034731	SLC35F3
ENSG00000168275	1	234509202	234519795	25	3	3507846	-0.71521	0.76276	COA6
ENSG00000059588	1	234527059	234614849	284	34	3537217	0.61175	0.27035	TARBP1
ENSG00000168264	1	234740015	234745271	9	4	3513771	3.0172	0.0012757	IRF2BP2
ENSG00000173726	1	235272651	235292251	34	3	3536875	2.824	0.0023716	TOMM20
ENSG00000188739	1	235294498	235324772	43	5	3536150	2.6645	0.0038557	RBM34
ENSG00000054267	1	235294949	235491534	194	11	3524580	2.6546	0.0039699	ARID4B
ENSG00000152904	1	235490665	235507847	16	5	3500923	2.246	0.012351	GGPS1
ENSG00000116957	1	235530675	235612283	178	18	3524177	0.88292	0.18864	TBCE
ENSG00000162885	1	235613238	235667781	106	10	3501153	1.3726	0.084944	B3GALNT2
ENSG00000168243	1	235710987	235814054	255	28	3509229	0.16152	0.43584	GNG4
ENSG00000143669	1	235824341	236046940	201	19	3534804	-0.51312	0.69607	LYST
ENSG00000116962	1	236139130	236228462	194	27	3513152	0.31947	0.37469	NID1
ENSG00000077585	1	236305832	236385165	189	17	3524892	-0.88102	0.81085	GPR137B
ENSG00000086619	1	236378855	236445319	302	10	3546876	-1.4989	0.93305	ERO1LB
ENSG00000186197	1	236511562	236648214	435	35	3518137	0.91957	0.1789	EDARADD
ENSG00000116977	1	236681300	236716281	35	9	3490404	0.85558	0.19611	LGALS8
ENSG00000119285	1	236712305	236767804	114	9	3538676	0.84404	0.19932	HEATR1
ENSG00000077522	1	236849754	236927931	246	34	3518029	3.7462	8.9751e-05	ACTN2
ENSG00000116984	1	236958610	237067281	102	10	3523606	1.4545	0.072901	MTR
ENSG00000198626	1	237205505	237997288	1936	170	3510783	2.4938	0.0063201	RYR2
ENSG00000116996	1	238045705	238054094	28	6	3479304	-0.6834	0.75282	ZP4
ENSG00000270188	1	238107024	238108575	10	2	3521210	2.0755	0.018969	MTRNR2L11
ENSG00000133019	1	239549865	240078750	1004	88	3529311	2.1959	0.014049	CHRM3
ENSG00000155816	1	240177648	240638489	1314	82	3535384	0.92824	0.17664	FMN2
ENSG00000268365	1	240629183	240643504	15	4	3546676	-0.25984	0.60251	AL646016.1
ENSG00000180875	1	240652873	240775449	225	46	3499260	0.60093	0.27394	GREM2
ENSG00000182901	1	240931554	241520530	1453	130	3533836	1.7091	0.043712	RGS7
ENSG00000091483	1	241660903	241683061	33	8	3503890	0.099041	0.46055	FH
ENSG00000117009	1	241695434	241758944	175	34	3507569	0.99862	0.15899	KMO
ENSG00000054277	1	241753404	241840678	167	42	3500470	5.3141	5.3585e-08	OPN3
ENSG00000203668	1	241792155	241799232	13	5	3526003	5.2253	8.6931e-08	CHML
ENSG00000162843	1	241815580	241965435	254	42	3512297	2.0489	0.020234	WDR64
ENSG00000174371	1	242011269	242058450	133	13	3530880	0.028308	0.48871	EXO1
ENSG00000197769	1	242158792	242162375	1	1	3551383	-0.12895	0.5513	MAP1LC3C
ENSG00000180287	1	242246288	242687998	1164	89	3537547	3.5371	0.00020228	PLD5
ENSG00000143702	1	243287730	243418650	78	11	3498462	1.9665	0.024621	CEP170
ENSG00000269795	1	243388058	243395911	9	3	3507074	0.67636	0.24941	AC092782.1
ENSG00000054282	1	243419320	243663394	364	29	3520645	2.4142	0.0078844	SDCCAG8
ENSG00000117020	1	243651535	244014381	395	17	3531627	4.387	5.7469e-06	AKT3
ENSG00000179456	1	244214585	244220778	1	1	3524665	-0.17892	0.571	ZBTB18
ENSG00000268146	1	244227632	244231211	3	2	3553304	2.6533	0.003986	AL590483.1
ENSG00000173728	1	244515937	244552965	49	14	3515528	-0.65047	0.74231	C1orf100
ENSG00000035687	1	244571796	244615436	98	16	3533704	0.41751	0.33815	ADSS
ENSG00000179397	1	244617679	244804479	437	19	3535073	-0.70524	0.75967	C1orf101
ENSG00000121644	1	244816237	244872335	48	9	3499968	0.23183	0.40834	DESI2
ENSG00000203667	1	244998624	245008359	17	3	3528501	0.30472	0.38029	COX20
ENSG00000153187	1	245014468	245027844	9	3	3489821	0.20788	0.41766	HNRNPU
ENSG00000272195	1	245132652	245134390	2	1	3567623	2.592	0.0047716	RP11-156E8.1
ENSG00000203666	1	245133007	245290466	346	16	3536671	2.7823	0.0026989	EFCAB2
ENSG00000162849	1	245318287	245872733	1462	157	3525335	1.71	0.043631	KIF26B
ENSG00000185420	1	245912642	246670614	2536	90	3522337	7.3301	1.1499e-13	SMYD3
ENSG00000162851	1	246703862	246729626	125	15	3507788	1.5358	0.0623	TFB2M
ENSG00000162852	1	246729746	246831886	210	26	3534986	0.1075	0.4572	CNST
ENSG00000143653	1	246887349	246931439	107	13	3537458	0.50982	0.30509	SCCPDH
ENSG00000153207	1	247002400	247095280	143	21	3513932	0.62852	0.26483	AHCTF1
ENSG00000197472	1	247108849	247171395	168	20	3531249	1.3282	0.092056	ZNF695
ENSG00000135747	1	247108849	247242113	469	23	3531859	1.0865	0.13863	ZNF670
ENSG00000188295	1	247263264	247267674	6	1	3447785	-0.97079	0.83417	ZNF669
ENSG00000221953	1	247273462	247275719	5	3	3545516	0.30969	0.3784	C1orf229
ENSG00000196418	1	247285277	247335318	139	14	3532357	0.52264	0.30061	ZNF124
ENSG00000162714	1	247460714	247495148	64	11	3474303	1.1732	0.12036	ZNF496
ENSG00000162711	1	247579458	247612410	115	27	3522614	-0.15789	0.56273	NLRP3
ENSG00000177535	1	247614255	247615308	5	2	3554433	-1.7757	0.96211	OR2B11
ENSG00000169224	1	247670360	247740992	210	37	3527854	-0.51992	0.69844	GCSAML
ENSG00000196242	1	247693434	247697141	11	4	3555893	-0.72841	0.76682	OR2C3
ENSG00000177489	1	247751662	247752615	6	4	3578268	0.88875	0.18707	OR2G2
ENSG00000177476	1	247768856	247769838	4	2	3544027	2.4197	0.0077669	OR2G3
ENSG00000197437	1	247835320	247836365	7	2	3538336	1.4662	0.071299	OR13G1
ENSG00000169214	1	247875045	247876105	7	3	3573173	0.041477	0.48346	OR6F1
ENSG00000241128	1	247886401	247887345	4	2	3583863	-0.30316	0.61911	OR14A2
ENSG00000221888	1	247920676	247921982	4	2	3535930	0.99246	0.16049	OR1C1
ENSG00000196772	1	247978102	247979031	4	2	3544027	0.3648	0.35763	OR14A16
ENSG00000197591	1	248004199	248005254	8	1	3563945	1.8961	0.028976	OR11L1
ENSG00000162722	1	248020501	248041507	89	11	3496684	-0.087372	0.53481	TRIM58
ENSG00000238243	1	248031277	248060449	113	17	3524391	0.52683	0.29915	OR2W3
ENSG00000177275	1	248097071	248098057	1	1	3583863	-0.32418	0.6271	OR2AJ1
ENSG00000196071	1	248100493	248264224	386	21	3517720	-1.6639	0.95193	OR2L13
ENSG00000196936	1	248112160	248113098	6	2	3505014	-2.2823	0.98877	OR2L8
ENSG00000187080	1	248128535	248129641	5	2	3536404	-2.6022	0.99537	OR2AK2
ENSG00000197454	1	248185250	248186188	1	1	3583863	0.015542	0.4938	OR2L5
ENSG00000203663	1	248201474	248202607	1	1	3551383	-0.63259	0.7365	OR2L2
ENSG00000198128	1	248223984	248224922	4	1	3479112	-1.0793	0.85976	OR2L3
ENSG00000162727	1	248308450	248309388	2	1	3583863	-0.040458	0.51614	OR2M5
ENSG00000177201	1	248457918	248458880	1	1	3583863	1.2816	0.1	OR2T12
ENSG00000177186	1	248486894	248487899	5	1	3583863	-1.1039	0.86518	OR2M7
ENSG00000177174	1	248512077	248513015	5	1	3583863	-0.65525	0.74385	OR14C36
ENSG00000196944	1	248524883	248525929	2	1	3460563	-1.4009	0.91938	OR2T4
ENSG00000198104	1	248550910	248551836	3	2	3583863	0.65589	0.25595	OR2T6
ENSG00000175143	1	248569296	248570405	1	1	3406068	0.10421	0.4585	OR2T1
ENSG00000189181	1	248844628	248845629	5	1	3568979	0.58545	0.27912	OR14I1
ENSG00000175137	1	249104648	249120832	17	3	3542075	1.0261	0.15242	SH3BP5L
ENSG00000171161	1	249132409	249143716	7	2	3503326	1.2217	0.1109	ZNF672
ENSG00000171163	1	249144205	249153343	7	1	3520577	1.1439	0.12634	ZNF692
ENSG00000185220	1	249200395	249214145	9	2	3542485	0.91712	0.17954	PGBD2
ENSG00000184731	2	38814	46870	2	1	3456021	-0.76201	0.77697	FAM110C
ENSG00000035115	2	217730	266398	89	9	3546937	-0.45728	0.67626	SH3YL1
ENSG00000143727	2	264140	278283	24	4	3545346	-0.52267	0.6994	ACP1
ENSG00000189292	2	279558	288851	18	4	3517547	-0.86837	0.8074	FAM150B
ENSG00000151353	2	667335	677439	23	4	3560206	0.55515	0.2894	TMEM18
ENSG00000172554	2	946554	1371385	1676	61	3526949	0.32317	0.37328	SNTG2
ENSG00000115705	2	1377995	1547483	560	36	3494792	-0.37706	0.64694	TPO
ENSG00000130508	2	1635659	1748624	295	35	3525409	1.343	0.089637	PXDN
ENSG00000186487	2	1792885	2335032	1430	81	3521246	3.3883	0.00035159	MYT1L
ENSG00000032389	2	3192696	3381653	592	23	3524176	1.9716	0.024325	TSSC1
ENSG00000171853	2	3383446	3488865	307	26	3487457	3.1294	0.00087592	TRAPPC12
ENSG00000182551	2	3501132	3523507	73	6	3530953	1.3672	0.085779	ADI1
ENSG00000255767	2	3579574	3595547	53	12	3519943	0.53284	0.29707	RP13-512J5.1
ENSG00000171865	2	3592383	3606206	45	11	3530509	1.3502	0.088469	RNASEH1
ENSG00000171863	2	3622795	3628509	24	6	3498216	0.053424	0.4787	RPS7
ENSG00000118004	2	3642426	3692048	157	15	3511004	1.4154	0.078476	COLEC11
ENSG00000151360	2	3705785	3750261	158	18	3520309	0.35537	0.36116	ALLC
ENSG00000214866	2	3751453	3836122	295	41	3533228	1.5895	0.055975	DCDC2C
ENSG00000176887	2	5832799	5841516	11	5	3442172	3.7898	7.5376e-05	SOX11
ENSG00000272268	2	6111712	6114374	8	3	3499797	-0.39289	0.6528	DKFZP761K2322
ENSG00000134326	2	6980701	7006766	12	4	3541358	0.15485	0.43847	CMPK2
ENSG00000134321	2	7005937	7038370	47	9	3510271	-0.20464	0.58107	RSAD2
ENSG00000151692	2	7057523	7208417	460	35	3543166	-0.223	0.58823	RNF144A
ENSG00000115738	2	8818975	8824583	10	3	3480318	1.8639	0.031165	ID2
ENSG00000134313	2	8865408	8977760	111	14	3494422	3.0428	0.0011719	KIDINS220
ENSG00000143797	2	8992820	9143942	169	10	3522831	0.33603	0.36842	MBOAT2
ENSG00000151693	2	9346894	9545812	268	17	3512967	-0.71618	0.76306	ASAP2
ENSG00000119185	2	9543604	9563676	40	4	3524105	-1.7248	0.95771	ITGB1BP1
ENSG00000119203	2	9563697	9613230	58	5	3546760	-1.6927	0.95474	CPSF3
ENSG00000134330	2	9613787	9636672	48	7	3535055	-1.6873	0.95422	IAH1
ENSG00000151694	2	9628615	9695921	98	9	3508956	-2.1587	0.98456	ADAM17
ENSG00000134308	2	9724101	9771143	78	8	3516917	1.5617	0.059181	YWHAQ
ENSG00000115750	2	9983483	10074545	358	16	3536016	-1.7925	0.96347	TAF1B
ENSG00000134317	2	10085341	10142411	243	23	3528990	-0.48548	0.68633	GRHL1
ENSG00000172059	2	10182976	10194963	22	7	3442739	5.0309	2.4413e-07	KLF11
ENSG00000205795	2	10196907	10221071	56	13	3499486	3.0957	0.00098178	CYS1
ENSG00000233502	2	10223908	10226228	7	3	3543777	1.7613	0.039096	AC104794.4
ENSG00000171848	2	10262455	10271545	11	5	3524919	0.45108	0.32597	RRM2
ENSG00000163009	2	10281509	10351851	245	31	3536615	1.6107	0.053621	C2orf48
ENSG00000115756	2	10443015	10567743	438	55	3526872	0.8758	0.19057	HPCAL1
ENSG00000115758	2	10580094	10588630	15	3	3548533	1.0436	0.14833	ODC1
ENSG00000115761	2	10710892	10830101	382	19	3527263	-0.93255	0.82447	NOL10
ENSG00000143882	2	10861775	10925236	169	25	3524015	3.3095	0.00046734	ATP6V1C2
ENSG00000143870	2	10923517	10978103	319	15	3536120	3.2548	0.00056744	PDIA6
ENSG00000232056	2	10987703	10995081	34	6	3489868	0.8236	0.20508	AC092687.4
ENSG00000162975	2	11052063	11054350	4	2	3567623	1.6857	0.045927	KCNF1
ENSG00000150873	2	11273179	11286916	48	4	3506557	-0.91741	0.82054	C2orf50
ENSG00000162976	2	11295324	11319000	77	15	3471324	1.016	0.15482	PQLC3
ENSG00000134318	2	11319887	11488456	332	16	3506322	2.8687	0.0020609	ROCK2
ENSG00000169016	2	11584501	11606297	59	5	3540632	0.24844	0.4019	E2F6
ENSG00000269074	2	11603927	11606274	5	2	3569430	0.096312	0.46164	AC099344.1
ENSG00000196208	2	11674242	11782914	225	29	3543972	4.4665	3.9762e-06	GREB1
ENSG00000169006	2	11798304	11810290	27	6	3534541	-0.15349	0.561	NTSR2
ENSG00000134324	2	11817721	11967535	409	42	3490330	0.86172	0.19442	LPIN1
ENSG00000071575	2	12857015	12882860	54	9	3522485	4.2536	1.052e-05	TRIB2
ENSG00000162981	2	14772810	14790933	20	3	3558521	2.5324	0.0056636	FAM84A
ENSG00000265629	2	14775215	14790933	18	3	3562380	2.546	0.0054478	AC011897.1
ENSG00000151779	2	15307032	15701454	561	26	3526669	6.5727	2.4713e-11	NBAS
ENSG00000079785	2	15731302	15771235	106	10	3518027	1.8085	0.035264	DDX1
ENSG00000231031	2	15830906	15884463	157	23	3531345	1.6305	0.051497	AC008271.1
ENSG00000134323	2	16080686	16087129	7	4	3539642	1.5166	0.064682	MYCN
ENSG00000197872	2	16730727	16847599	272	47	3524869	2.6016	0.0046395	FAM49A
ENSG00000214842	2	17691851	17699706	26	2	3567952	2.1978	0.01398	RAD51AP2
ENSG00000163032	2	17720393	17838285	347	14	3536391	2.7419	0.0030547	VSNL1
ENSG00000163029	2	17845079	17981509	186	25	3510499	3.0153	0.0012838	SMC6
ENSG00000178295	2	17935125	17966632	53	10	3520715	2.9009	0.0018605	GEN1
ENSG00000151379	2	17997763	17998368	2	1	3447712	-0.59065	0.72262	MSGN1
ENSG00000170745	2	18059114	18542882	1699	119	3526244	-0.132	0.55251	KCNS3
ENSG00000240857	2	18735989	18741946	12	6	3550700	-0.66516	0.74703	RDH14
ENSG00000250741	2	18736811	18770830	73	12	3502419	-0.87088	0.80809	NT5C1B-RDH14
ENSG00000185013	2	18737050	18770838	73	12	3502419	-0.87088	0.80809	NT5C1B
ENSG00000143867	2	19551246	19558414	14	6	3544365	0.47289	0.31815	OSR1
ENSG00000183891	2	20096404	20101747	10	3	3581047	-0.76898	0.77905	TTC32
ENSG00000118965	2	20110021	20189892	172	18	3542879	-1.2779	0.89935	WDR35
ENSG00000132031	2	20191872	20212455	40	10	3509379	-0.51505	0.69674	MATN3
ENSG00000068697	2	20232411	20251789	37	7	3540698	-1.2522	0.89475	LAPTM4A
ENSG00000115884	2	20400558	20425194	58	8	3513858	2.3446	0.0095226	SDC1
ENSG00000055917	2	20448452	20551995	142	12	3518140	1.7673	0.038586	PUM2
ENSG00000143878	2	20646835	20649200	6	4	3510403	0.55653	0.28892	RHOB
ENSG00000118960	2	20760208	20850849	387	36	3541933	0.61058	0.27074	HS1BP3
ENSG00000143869	2	20866424	20873418	13	2	3524238	0.085793	0.46582	GDF7
ENSG00000118961	2	20883788	21022882	249	30	3527308	1.61	0.053699	C2orf43
ENSG00000084674	2	21224301	21266945	52	16	3515043	0.39457	0.34658	APOB
ENSG00000218819	2	21346789	21366144	22	7	3537149	1.8755	0.030359	TDRD15
ENSG00000119771	2	23608088	23931481	981	107	3530607	5.0521	2.1846e-07	KLHL29
ENSG00000224361	2	23729913	23747214	47	11	3542342	1.0566	0.14535	AC011239.1
ENSG00000119778	2	23971534	24149984	452	20	3539563	5.7222	5.2582e-09	ATAD2B
ENSG00000173960	2	24150155	24227779	246	19	3531177	5.4008	3.3171e-08	UBXN2A
ENSG00000205639	2	24232951	24286191	119	21	3529542	3.6155	0.00014988	MFSD2B
ENSG00000163026	2	24252210	24272445	46	10	3531363	3.4272	0.00030491	C2orf44
ENSG00000119782	2	24272571	24286551	23	5	3526068	-0.15993	0.56353	FKBP1B
ENSG00000115128	2	24290454	24299313	38	6	3550817	1.1916	0.11671	SF3B14
ENSG00000219626	2	24299396	24392509	287	19	3538681	1.6555	0.048908	FAM228B
ENSG00000115129	2	24300303	24308731	18	5	3579985	1.4466	0.074009	TP53I3
ENSG00000176732	2	24338241	24346347	23	4	3556442	1.2198	0.11128	PFN4
ENSG00000266118	2	24347236	24413305	202	22	3544428	2.1997	0.013915	RP11-507M3.1
ENSG00000186453	2	24397938	24423718	76	10	3511930	2.4321	0.0075056	FAM228A
ENSG00000198399	2	24425733	24583583	293	15	3531652	1.9598	0.02501	ITSN2
ENSG00000084676	2	24714783	24993571	508	22	3528405	1.4703	0.070739	NCOA1
ENSG00000184924	2	25012603	25016251	11	4	3514119	1.0185	0.15421	PTRHD1
ENSG00000138092	2	25016005	25045245	81	14	3488452	1.2689	0.10224	CENPO
ENSG00000138031	2	25042038	25142708	337	20	3541450	2.3608	0.0091168	ADCY3
ENSG00000115137	2	25166505	25194963	44	8	3538144	1.7323	0.041613	DNAJC27
ENSG00000084710	2	25264999	25378243	220	25	3517839	2.784	0.002685	EFR3B
ENSG00000115138	2	25383722	25391772	14	6	3508382	2.6234	0.0043531	POMC
ENSG00000119772	2	25455845	25565459	170	34	3538789	4.2031	1.3162e-05	DNMT3A
ENSG00000138101	2	25600067	25896503	360	39	3514763	0.27823	0.39042	DTNB
ENSG00000143970	2	25956622	26101385	300	13	3524979	-0.0070018	0.50279	ASXL2
ENSG00000084731	2	26149471	26205618	115	19	3513344	1.8152	0.034744	KIF3C
ENSG00000268412	2	26251074	26251481	1	1	3583863	2.7125	0.003339	AC013449.1
ENSG00000084733	2	26256976	26360323	148	6	3524183	3.0233	0.0012501	RAB10
ENSG00000157833	2	26395960	26412532	29	4	3516015	2.0755	0.018969	GAREML
ENSG00000084754	2	26413504	26467594	92	3	3548791	2.4644	0.0068617	HADHA
ENSG00000138029	2	26466038	26513336	63	5	3537650	2.5198	0.0058712	HADHB
ENSG00000173567	2	26531041	26569685	84	20	3542780	0.039554	0.48422	GPR113
ENSG00000138018	2	26531415	26618759	181	22	3532704	-0.079478	0.53167	EPT1
ENSG00000157856	2	26624784	26679579	102	15	3526204	0.37944	0.35218	DRC1
ENSG00000115155	2	26680071	26781566	296	33	3509385	2.0146	0.021974	OTOF
ENSG00000173557	2	26785450	26802400	39	7	3514563	1.2851	0.099374	C2orf70
ENSG00000157884	2	26804070	26864236	121	16	3536958	2.2377	0.012621	CIB4
ENSG00000171303	2	26915619	26956288	63	9	3522721	2.0299	0.021182	KCNK3
ENSG00000213699	2	26987152	27004099	14	2	3517424	1.722	0.042534	SLC35F6
ENSG00000115163	2	26987157	27023935	30	4	3538609	2.0637	0.019523	CENPA
ENSG00000157851	2	27070615	27173219	128	8	3523671	3.0849	0.0010182	DPYSL5
ENSG00000084764	2	27193480	27250064	51	4	3530842	3.272	0.00053394	MAPRE3
ENSG00000119777	2	27255778	27264563	5	2	3551994	2.3396	0.009651	TMEM214
ENSG00000084693	2	27265232	27293490	28	4	3535618	2.7064	0.0034006	AGBL5
ENSG00000228474	2	27293340	27294641	1	1	3551383	2.0581	0.01979	OST4
ENSG00000138080	2	27301435	27309271	5	2	3481375	2.6928	0.0035429	EMILIN1
ENSG00000138030	2	27309615	27323640	14	2	3524708	2.6772	0.003712	KHK
ENSG00000138028	2	27321757	27341995	27	5	3473971	2.9189	0.0017566	CGREF1
ENSG00000143994	2	27346682	27353680	8	2	3521787	3.5998	0.00015921	ABHD1
ENSG00000138073	2	27353624	27357543	8	3	3509495	2.7763	0.0027492	PREB
ENSG00000186143	2	27359723	27362278	5	2	3565380	3.2781	0.00052258	C2orf53
ENSG00000163792	2	27371872	27376378	5	2	3551383	3.9736	3.5396e-05	TCF23
ENSG00000138074	2	27422455	27435826	31	7	3527108	0.21678	0.41419	SLC5A6
ENSG00000138085	2	27434895	27440046	14	4	3465576	-0.96586	0.83294	ATRAID
ENSG00000084774	2	27440258	27466811	70	10	3495214	-0.46348	0.67849	CAD
ENSG00000115194	2	27476552	27498685	34	6	3486666	-0.55525	0.71064	SLC30A3
ENSG00000163793	2	27498289	27504367	9	4	3506810	0.83338	0.20232	DNAJC5G
ENSG00000138100	2	27505260	27530307	31	6	3488650	1.2759	0.10099	TRIM54
ENSG00000115204	2	27532360	27548547	20	8	3440171	0.62602	0.26565	MPV17
ENSG00000115207	2	27548716	27579868	21	5	3556066	1.154	0.12424	GTF3C2
ENSG00000115211	2	27587219	27593353	10	6	3549511	1.0081	0.15671	EIF2B4
ENSG00000115234	2	27593389	27599995	8	2	3509210	1.4049	0.080019	SNX17
ENSG00000163795	2	27600098	27603657	2	1	3555952	1.3586	0.087142	ZNF513
ENSG00000115241	2	27604061	27632554	34	5	3516106	1.2733	0.10146	PPM1G
ENSG00000115216	2	27650657	27665126	13	2	3432117	1.3195	0.093497	NRBP1
ENSG00000157992	2	27665233	27669348	5	3	3426080	0.55246	0.29032	KRTCAP3
ENSG00000138002	2	27667238	27712656	64	7	3488245	1.545	0.061175	IFT172
ENSG00000115226	2	27714750	27718112	5	1	3459075	1.8839	0.029791	FNDC4
ENSG00000084734	2	27719709	27746554	34	5	3500271	2.7145	0.0033184	GCKR
ENSG00000233438	2	27760253	27790011	46	7	3502747	3.7383	9.2645e-05	AC109829.1
ENSG00000221843	2	27799389	27805588	6	3	3551544	3.0022	0.0013401	C2orf16
ENSG00000243943	2	27805897	27858041	102	10	3519633	3.1701	0.00076204	ZNF512
ENSG00000176714	2	27848506	27851879	4	2	3519729	1.2096	0.11321	CCDC121
ENSG00000198522	2	27851114	27874375	38	6	3537489	3.0468	0.0011563	GPN1
ENSG00000119760	2	27873679	27886676	10	3	3504986	3.218	0.00064544	SUPT7L
ENSG00000163798	2	27886338	27917840	23	9	3495240	3.412	0.00032248	SLC4A1AP
ENSG00000205334	2	27928653	27938599	12	4	3570584	3.8001	7.2312e-05	AC074091.13
ENSG00000243147	2	27994584	28210954	288	12	3536263	4.8192	7.2076e-07	MRPL33
ENSG00000268656	2	27998851	28009186	8	3	3470289	4.1845	1.4289e-05	AC110084.1
ENSG00000171174	2	28004231	28113965	158	9	3537738	4.9875	3.0577e-07	RBKS
ENSG00000158019	2	28112808	28561768	850	42	3530831	3.5949	0.00016225	BRE
ENSG00000075426	2	28615315	28640179	31	6	3538018	1.7139	0.043272	FOSL2
ENSG00000163803	2	28680012	28866654	646	69	3517985	1.7289	0.041914	PLB1
ENSG00000213639	2	28974506	29025806	94	11	3539857	4.1651	1.5562e-05	PPP1CB
ENSG00000163806	2	29005383	29073477	91	10	3527899	4.2904	8.9159e-06	SPDYA
ENSG00000171103	2	29072687	29093167	26	4	3550116	4.332	7.3891e-06	TRMT61B
