Location,ID,PANEL_clean_short,TWAS.Z,TWAS.P,COLOC.PP0,COLOC.PP1,COLOC.PP2,COLOC.PP3,COLOC.PP4,Low_PP3_0.2,Colocalised
chr3:113547029-113666021,GRAMD1C,YFS Blood,5.079522,3.78e-07,0,0.378,0,0.082,0.54,Yes,No
chr3:117391001-117716439,RP11-384F7.2,GTEx Adrenal...,-5.7787,7.53e-09,0,0,0,0.996,0.004,No,No
chr3:117391001-117716439,RP11-384F7.2,GTEx Caudate...,5.047,4.49e-07,0,0,0.892,0.065,0.043,Yes,No
chr3:122131182-122134882,WDR5B,GTEx Caudate...,4.89769,9.7e-07,0.595,0.229,0.037,0.014,0.125,Yes,No
chr3:156977531-157251408,VEPH1,GTEx Whole B...,5.19945,2e-07,0,0,0,0.095,0.905,Yes,Yes
chr3:157261035-157395538,C3orf55,GTEx Nucleus...,-5.27,1.36e-07,0.003,0,0.767,0.119,0.111,Yes,No
chr3:157261035-157395538,C3orf55,GTEx Thyroid,-5.377,7.57e-08,0,0.001,0.004,0.214,0.781,No,No
chr3:157823644-158263519,RSRC1,YFS Blood,6.802328,1.03e-11,0,0,0,1,0,No,No
chr3:157825578-158263519,RSRC1,GTEx Cerebel...,4.865,1.14e-06,0,0,0.634,0.336,0.03,No,No
chr3:157825578-158263519,RSRC1,GTEx Cortex,5.078,3.81e-07,0,0,0.689,0.277,0.034,No,No
chr3:158288952-158324249,MLF1,CMC DLPFC,5.25488,1.48e-07,0,0,0.794,0.114,0.092,Yes,No
chr3:166958076-167098085,ZBBX,CMC DLPFC Sp...,-5.15097,2.59e-07,0,0.066,0,0.283,0.651,No,No
chr3:167159576-167191920,SERPINI2,CMC DLPFC,-5.262,1.42e-07,0.007,0.002,0.033,0.007,0.951,Yes,Yes
chr3:167159577-167196792,SERPINI2,GTEx Caudate...,-5.20241,1.97e-07,0.003,0.022,0.013,0.096,0.866,Yes,Yes
chr3:167159577-167196792,SERPINI2,GTEx Hypotha...,-5.8305,5.53e-09,0.063,0.004,0.283,0.018,0.631,Yes,No
chr3:180320646-180588793,CCDC39,PsychENCODE,4.83447,1.33e-06,0,0.502,0,0.497,0,No,No
chr3:193119865-193272696,ATP13A4,CMC DLPFC Sp...,-6.229,4.69e-10,0,0,0.063,0.029,0.908,Yes,Yes
chr3:193119865-193272696,ATP13A4,CMC DLPFC Sp...,-6.067,1.3e-09,0,0,0,0.08,0.92,Yes,Yes
chr3:193119866-193310900,ATP13A4,GTEx Whole B...,-6.067,1.3e-09,0,0,0,0.08,0.92,Yes,Yes
chr3:193296601-193297254,RP11-175P19.2,GTEx Amygdal...,4.913,8.97e-07,0,0,0.868,0.081,0.051,Yes,No
chr3:193296601-193297254,RP11-175P19.2,GTEx Caudate...,7.16819,7.6e-13,0,0,0,0.036,0.964,Yes,Yes
chr3:193296601-193297254,RP11-175P19.2,GTEx Frontal...,5.1143,3.15e-07,0,0,0.046,0.106,0.848,Yes,Yes
chr3:193296601-193297254,RP11-175P19.2,GTEx Hippoca...,5.5008,3.78e-08,0,0,0.003,0.134,0.863,Yes,Yes
chr3:193296601-193297254,RP11-175P19.2,GTEx Hypotha...,5.4951,3.9e-08,0,0,0.325,0.051,0.624,Yes,No
chr3:193296601-193310879,RP11-175P19.2,PsychENCODE,5.117,3.1e-07,0,0,0,0.993,0.007,No,No
chr3:193296601-193297254,RP11-175P19.2,GTEx Thyroid,4.896176,9.77e-07,0,0,0.043,0.069,0.889,Yes,Yes
chr3:193310932-193415600,OPA1,CMC DLPFC,-5.52375,3.32e-08,0,0,0,0.401,0.599,No,No
chr3:193310932-193415600,OPA1,CMC DLPFC Sp...,-6.138,8.36e-10,0,0,0,0.053,0.947,Yes,Yes
chr3:193310932-193415600,OPA1,CMC DLPFC Sp...,5.179,2.23e-07,0,0,0,0.928,0.072,No,No
chr3:193310932-193415600,OPA1,CMC DLPFC Sp...,4.913,8.97e-07,0,0,0,0.98,0.02,No,No
chr3:193310932-193415600,OPA1,CMC DLPFC Sp...,-5.212,1.87e-07,0,0,0,0.916,0.084,No,No
chr3:193310932-193415600,OPA1,CMC DLPFC Sp...,5.9236,3.15e-09,0,0,0,0.744,0.256,No,No
chr3:193310933-193415612,OPA1,GTEx Cerebel...,-6.075,1.24e-09,0,0,0.423,0.051,0.526,Yes,No
chr3:193310933-193415612,OPA1,PsychENCODE,-5.8279,5.61e-09,0,0,0,0.809,0.191,No,No
chr3:195590235-195638816,TNK2,PsychENCODE,-5.25753,1.46e-07,0,0.2,0,0.024,0.776,Yes,No
chr3:195938358-195970049,SLC51A,PsychENCODE,-5.04678,4.49e-07,0,0.077,0,0.009,0.914,Yes,Yes
chr4:1283639-1333925,MAEA,GTEx Adrenal...,4.946,7.58e-07,0,0.009,0,0.005,0.986,Yes,Yes
chr4:1385340-1389780,CRIPAK,GTEx Cortex,-5.2228,1.76e-07,0.248,0.049,0.169,0.033,0.499,Yes,No
chr4:3065198-3076241,HTT-AS,GTEx Cerebel...,4.8848,1.04e-06,0,0,0.06,0.67,0.269,No,No
chr4:3065198-3076241,HTT-AS,GTEx Pituita...,4.8894,1.01e-06,0,0,0.341,0.137,0.521,Yes,No
chr4:3076408-3245676,HTT,GTEx Whole B...,5.2381,1.62e-07,0,0,0,0.345,0.655,No,No
chr4:3310762-3441640,RGS12,GTEx Pituita...,-5.5121,3.55e-08,0,0,0.422,0.069,0.509,Yes,No
chr4:15341442-15447790,C1QTNF7,PsychENCODE,-5.35021,8.79e-08,0,0.036,0,0.09,0.873,Yes,Yes
chr4:39824482-39979576,PDS5A,CMC DLPFC,-5.114,3.15e-07,0.001,0.004,0.004,0.017,0.974,Yes,Yes
chr4:39824482-39979576,PDS5A,CMC DLPFC Sp...,-5.046,4.51e-07,0,0.005,0,0.024,0.97,Yes,Yes
chr4:39824483-39979576,PDS5A,GTEx Cerebel...,-5.0495,4.43e-07,0.02,0.005,0.092,0.022,0.862,Yes,Yes
chr4:39824483-39979576,PDS5A,GTEx Cerebel...,-5.064,4.11e-07,0.043,0.005,0.202,0.02,0.73,Yes,No
chr4:39824483-39979576,PDS5A,GTEx Thyroid,-4.98231,6.28e-07,0.048,0.017,0.224,0.08,0.631,Yes,No
chr4:41983713-41988476,DCAF4L1,GTEx Thyroid,-4.879,1.07e-06,0.026,0.005,0.491,0.095,0.382,Yes,No
chr4:41992489-42092474,SLC30A9,GTEx Caudate...,-4.948,7.5e-07,0.043,0.001,0.822,0.028,0.106,Yes,No
chr4:41992489-42092474,SLC30A9,GTEx Cortex,-6.1061,1.02e-09,0.015,0.005,0.285,0.094,0.601,Yes,No
chr4:41992489-42092474,SLC30A9,GTEx Nucleus...,-5.3505,8.77e-08,0.002,0.003,0.037,0.061,0.897,Yes,Yes
chr4:41992489-42092474,SLC30A9,PsychENCODE,-5.43703,5.42e-08,0,0.001,0,0.053,0.946,Yes,Yes
chr4:46995740-47428461,GABRB1,PsychENCODE,5.70366,1.17e-08,0,0.005,0,0.686,0.309,No,No
chr4:47596015-47840123,CORIN,GTEx Whole B...,4.945,7.61e-07,0,0.009,0,0.015,0.976,Yes,Yes
chr4:47849257-47916158,NFXL1,GTEx Whole B...,4.945,7.61e-07,0,0.009,0,0.012,0.979,Yes,Yes
chr4:47849257-47916653,NFXL1,YFS Blood,5.06427,4.1e-07,0,0.01,0,0.017,0.973,Yes,Yes
chr4:48137800-48271881,TEC,GTEx Whole B...,4.9966,5.84e-07,0,0.014,0,0.018,0.968,Yes,Yes
chr4:56262124-56319564,TMEM165,PsychENCODE,-4.83884,1.31e-06,0,0.004,0,0.102,0.894,Yes,Yes
chr4:56262124-56319564,TMEM165,GTEx Whole B...,5.2985,1.17e-07,0.001,0.004,0.003,0.019,0.974,Yes,Yes
chr4:56294070-56413278,CLOCK,GTEx Thyroid,5.58148,2.38e-08,0,0.008,0,0.042,0.949,Yes,Yes
chr4:56461396-56502865,NMU,PsychENCODE,6.09843,1.07e-09,0.006,0.007,0.157,0.175,0.656,Yes,No
chr4:57829536-57844805,NOA1,GTEx Cerebel...,-5.0567,4.27e-07,0.784,0.076,0.08,0.008,0.052,Yes,No
chr4:76503215-76555900,CDKL2,PsychENCODE,4.97288,6.6e-07,0,0.143,0,0.132,0.725,Yes,No
chr4:99182535-99365012,RAP1GDS1,GTEx Whole B...,5.8059,6.4e-09,0,0.001,0.026,0.24,0.733,No,No
chr4:101944566-102269435,PPP3CA,PsychENCODE,-5.14381,2.69e-07,0,0,0.045,0.166,0.788,Yes,No
chr4:101944566-102269435,PPP3CA,GTEx Thyroid,-6.57921,4.73e-11,0.002,0,0.573,0.042,0.383,Yes,No
chr4:102268933-102270040,FLJ20021,CMC DLPFC,-5.718,1.08e-08,0,0,0.015,0.046,0.939,Yes,Yes
chr4:102268937-102270040,AP001816.1,GTEx Adrenal...,-6.72104,1.8e-11,0,0,0,0.046,0.954,Yes,Yes
chr4:102268937-102270040,AP001816.1,GTEx Caudate...,-5.595,2.21e-08,0,0,0,0.101,0.898,Yes,Yes
chr4:102268937-102270040,AP001816.1,GTEx Cerebel...,-5.153,2.56e-07,0.002,0.001,0.627,0.18,0.191,Yes,No
chr4:102268937-102270040,AP001816.1,GTEx Cerebel...,-5.2166,1.82e-07,0,0,0.034,0.133,0.832,Yes,Yes
chr4:102268937-102270040,AP001816.1,GTEx Cortex,-5.7765,7.63e-09,0,0,0.003,0.098,0.898,Yes,Yes
chr4:102268937-102270040,AP001816.1,GTEx Hippoca...,-5.692,1.26e-08,0.002,0,0.531,0.033,0.434,Yes,No
chr4:102268937-102270040,AP001816.1,GTEx Hypotha...,-6.0964,1.09e-09,0.001,0,0.166,0.059,0.774,Yes,No
chr4:102268937-102270040,AP001816.1,GTEx Nucleus...,-5.6639,1.48e-08,0,0,0.002,0.05,0.947,Yes,Yes
chr4:102268937-102270040,AP001816.1,GTEx Putamen...,-6.4842,8.92e-11,0,0,0.001,0.051,0.947,Yes,Yes
chr4:102268937-102270040,AP001816.1,PsychENCODE,-6.14235,8.13e-10,0,0,0,0.219,0.781,No,No
chr4:102268937-102270040,AP001816.1,GTEx Pituita...,-5.667,1.45e-08,0.002,0,0.746,0.025,0.227,Yes,No
chr4:102268937-102270040,AP001816.1,GTEx Thyroid,-5.66813,1.44e-08,0,0,0,0.09,0.91,Yes,Yes
chr4:102268937-102270040,AP001816.1,GTEx Whole B...,-5.397,6.78e-08,0,0.001,0,0.226,0.773,No,No
chr4:106290233-106395227,PPA2,CMC DLPFC,-5.6059,2.07e-08,0.18,0.442,0.02,0.048,0.31,Yes,No
chr4:118955499-119179789,NDST3,CMC DLPFC Sp...,-6.346129,2.21e-10,0,0,0,0.011,0.989,Yes,Yes
chr4:119201193-119274158,PRSS12,GTEx Thyroid,-5.482,4.21e-08,0,0,0.017,0.707,0.276,No,No
chr4:119606523-119636588,METTL14,GTEx Cerebel...,-5.296,1.18e-07,0.018,0.001,0.582,0.026,0.373,Yes,No
chr4:123073488-123283913,KIAA1109,GTEx Amygdal...,-5.952,2.65e-09,0.002,0,0.232,0.006,0.76,Yes,No
chr4:123073488-123283913,KIAA1109,GTEx Cortex,-5.952,2.65e-09,0,0,0.001,0.003,0.996,Yes,Yes
chr4:123073488-123283913,KIAA1109,PsychENCODE,-6.41503,1.41e-10,0,0,0,0.182,0.818,Yes,Yes
chr4:123091757-123283914,KIAA1109,CMC DLPFC,-5.975,2.3e-09,0,0,0,0.002,0.998,Yes,Yes
chr4:160025330-160281321,RAPGEF2,GTEx Thyroid,-5.46986,4.5e-08,0.018,0.141,0.007,0.051,0.784,Yes,No
chr4:164245113-164254170,NPY1R,GTEx Thyroid,5.96236,2.49e-09,0,0,0.905,0.048,0.047,Yes,No
chr5:7396321-7830194,ADCY2,PsychENCODE,5.09375,3.51e-07,0,0,0.002,0.297,0.701,No,No
chr5:26880708-27038689,CDH9,CMC DLPFC Sp...,5.92066,3.21e-09,0,0,0,0.936,0.064,No,No
chr5:26880708-27038689,CDH9,CMC DLPFC Sp...,-5.99487,2.04e-09,0,0,0,0.942,0.058,No,No
chr5:26880708-27038689,CDH9,CMC DLPFC Sp...,5.93128,3.01e-09,0,0,0,0.949,0.051,No,No
chr5:61601988-61683011,KIF2A,CMC DLPFC Sp...,5.49441,3.92e-08,0,0,0.471,0.49,0.039,No,No
chr5:61601989-61682210,KIF2A,GTEx Thyroid,5.105,3.31e-07,0,0,0.888,0.084,0.028,Yes,No
chr5:61601989-61833076,KIF2A,YFS Blood,7.204,5.85e-13,0,0,0.53,0.46,0.01,No,No
chr5:61683081-61699766,DIMT1,GTEx Thyroid,4.843,1.28e-06,0,0,0.004,0.996,0,No,No
chr5:77656338-77776562,SCAMP1,CMC DLPFC,-5.66835,1.44e-08,0,0.005,0.001,0.016,0.978,Yes,Yes
chr5:77656338-77776562,SCAMP1,CMC DLPFC Sp...,-5.091,3.56e-07,0,0.004,0,0.014,0.982,Yes,Yes
chr5:77656339-77776562,SCAMP1,GTEx Cortex,-5.091,3.56e-07,0.133,0.005,0.457,0.015,0.39,Yes,No
chr5:77656339-77776562,SCAMP1,YFS Blood,-5.0767,3.84e-07,0.001,0.104,0.005,0.357,0.532,No,No
chr5:87491022-87564665,TMEM161B,CMC DLPFC Sp...,4.90419,9.38e-07,0.001,0,0.225,0.09,0.684,Yes,No
chr5:87564888-87732502,TMEM161B-AS1,GTEx Frontal...,4.857,1.19e-06,0,0.003,0.002,0.994,0.001,No,No
chr5:87803363-87986858,LINC00461,GTEx Hypotha...,5.1744,2.29e-07,0.003,0,0.586,0.083,0.328,Yes,No
chr5:87988462-87989789,CTC-467M3.3,GTEx Cerebel...,-5.18917,2.11e-07,0,0,0.022,0.019,0.959,Yes,Yes
chr5:87988462-87989789,CTC-467M3.3,GTEx Cortex,-5.377,7.58e-08,0.001,0,0.091,0.04,0.868,Yes,Yes
chr5:87988462-87989789,CTC-467M3.3,GTEx Frontal...,-6.141,8.18e-10,0,0,0.06,0.018,0.921,Yes,Yes
chr5:87988462-87989789,CTC-467M3.3,PsychENCODE,-5.34834,8.88e-08,0,0.001,0.058,0.423,0.517,No,No
chr5:88013975-88199922,MEF2C,PsychENCODE,5.603,2.11e-08,0.002,0,0.495,0.046,0.458,Yes,No
chr5:119800018-120022964,PRR16,CMC DLPFC,6.899,5.24e-12,0,0,0.028,0.97,0.001,No,No
chr5:120116913-120126473,CTD-2334D19.1,PsychENCODE,-7.26617,3.7e-13,0,0,0,0.228,0.772,No,No
chr5:122110691-122165803,SNX2,GTEx Thyroid,4.854684,1.21e-06,0.077,0.031,0.232,0.091,0.569,Yes,No
chr5:122179134-122364999,SNX24,GTEx Frontal...,-5.152,2.58e-07,0.173,0.014,0.517,0.041,0.255,Yes,No
chr5:122179134-122364999,SNX24,GTEx Hypotha...,-5.6058,2.07e-08,0.095,0.04,0.285,0.12,0.459,Yes,No
chr5:122179134-122365049,SNX24,PsychENCODE,-5.0048,5.59e-07,0,0,0,0.995,0.005,No,No
chr5:122358184-122358478,RN7SL689P,GTEx Adrenal...,5.22493,1.74e-07,0.103,0.024,0.314,0.073,0.486,Yes,No
chr5:122358184-122358478,RN7SL689P,GTEx Thyroid,5.594717,2.21e-08,0,0.088,0,0.268,0.644,No,No
chr5:137673223-137685418,FAM53C,CMC DLPFC,-4.9349,8.02e-07,0.015,0.009,0.027,0.016,0.932,Yes,Yes
chr5:137841784-137878989,ETF1,PsychENCODE,5.152,2.58e-07,0.041,0.001,0.83,0.021,0.107,Yes,No
chr5:139728069-139737379,CTC-329D1.3,PsychENCODE,5.79059,7.01e-09,0,0,0.693,0.1,0.207,Yes,No
chr5:139739787-139754728,SLC4A9,GTEx Thyroid,-5.259848,1.44e-07,0,0,0,0.992,0.008,No,No
chr5:139917175-139937853,SRA1,GTEx Cerebel...,4.892,9.98e-07,0,0,0.551,0.423,0.026,No,No
chr5:139917175-139937853,SRA1,GTEx Hippoca...,5.299,1.16e-07,0,0,0.648,0.216,0.136,No,No
chr5:139929177-139938016,SRA1,NTR Blood,-4.9387,7.86e-07,0,0,0,1,0,No,No
chr5:139929651-139937678,SRA1,CMC DLPFC Sp...,5.09463,3.49e-07,0,0,0,1,0,No,No
chr5:139937853-139973337,APBB3,YFS Blood,6.0464,1.48e-09,0,0,0.478,0.125,0.397,Yes,No
chr5:140018325-140027370,NDUFA2,PsychENCODE,7.06491,1.61e-12,0,0,0,0.183,0.817,Yes,Yes
chr5:140018325-140027354,NDUFA2,GTEx Pituita...,6.7608,1.37e-11,0,0,0.441,0.08,0.479,Yes,No
chr5:140018325-140027354,NDUFA2,GTEx Whole B...,5.3,1.16e-07,0,0,0.86,0.112,0.028,Yes,No
chr5:140018325-140027370,NDUFA2,YFS Blood,5.3,1.16e-07,0,0,0,0.999,0.001,No,No
chr5:140019012-140024869,TMCO6,GTEx Caudate...,-6.01,1.86e-09,0,0,0.674,0.28,0.045,No,No
chr5:140019012-140024869,TMCO6,GTEx Cerebel...,-5.91068,3.41e-09,0,0,0,0.962,0.038,No,No
chr5:140019012-140024869,TMCO6,GTEx Cerebel...,-5.8992,3.65e-09,0,0,0,0.857,0.143,No,No
chr5:140019012-140024993,TMCO6,PsychENCODE,-5.60082,2.13e-08,0,0,0.053,0.737,0.21,No,No
chr5:140019012-140024869,TMCO6,GTEx Pituita...,-6.9975,2.61e-12,0,0,0.714,0.074,0.212,Yes,No
chr5:140019012-140024869,TMCO6,GTEx Thyroid,-5.909838,3.42e-09,0,0,0,1,0,No,No
chr5:140019012-140024993,TMCO6,YFS Blood,-6.2578,3.9e-10,0,0,0.021,0.101,0.878,Yes,Yes
chr5:140024947-140027370,NDUFA2,CMC DLPFC,7.63041,2.34e-14,0,0,0.295,0.105,0.599,Yes,No
chr5:140026643-140042063,IK,GTEx Amygdal...,-4.9344,8.04e-07,0,0,0.535,0.151,0.313,Yes,No
chr5:140026643-140042063,IK,GTEx ACC ,-5.9027,3.58e-09,0,0,0.373,0.158,0.469,Yes,No
chr5:140026643-140042063,IK,GTEx Cerebel...,-6.702,2.06e-11,0,0,0.323,0.113,0.564,Yes,No
chr5:140026643-140042063,IK,GTEx Whole B...,-5.075,3.87e-07,0,0,0.851,0.122,0.028,Yes,No
chr5:140044261-140052757,WDR55,GTEx Caudate...,-5.0072,5.52e-07,0,0,0.28,0.146,0.574,Yes,No
chr5:140044261-140052757,WDR55,GTEx Cerebel...,-5.82325,5.77e-09,0,0,0.14,0.22,0.641,No,No
chr5:140044261-140052757,WDR55,GTEx Cerebel...,-5.3517,8.71e-08,0,0,0.015,0.239,0.746,No,No
chr5:140044261-140053709,WDR55,YFS Blood,-6.4973,8.18e-11,0,0,0,0.668,0.332,No,No
chr5:140053710-140071609,HARS,GTEx Cerebel...,6.348,2.18e-10,0,0,0.315,0.453,0.232,No,No
chr5:140053710-140071609,HARS,GTEx Nucleus...,5.16,2.47e-07,0,0,0.881,0.074,0.045,Yes,No
chr5:140053710-140071609,HARS,GTEx Thyroid,5.76658,8.09e-09,0,0,0.187,0.091,0.723,Yes,No
chr5:140071011-140078889,HARS2,PsychENCODE,-6.386,1.7e-10,0,0,0.003,0.639,0.358,No,No
chr5:140073076-140078889,HARS2,GTEx Cerebel...,-6.45669,1.07e-10,0,0,0.491,0.056,0.453,Yes,No
chr5:140078265-140086248,ZMAT2,PsychENCODE,-6.14725,7.88e-10,0,0,0,0.782,0.218,No,No
chr5:140079919-140086248,ZMAT2,GTEx Adrenal...,-5.87858,4.14e-09,0,0,0.366,0.167,0.466,Yes,No
chr5:140079919-140086248,ZMAT2,GTEx ACC ,-6.348,2.18e-10,0,0,0.601,0.25,0.149,No,No
chr5:140079919-140086248,ZMAT2,GTEx Cerebel...,-6.2909,3.16e-10,0,0,0.093,0.168,0.739,Yes,No
chr5:140079919-140086248,ZMAT2,GTEx Substan...,-6.0131,1.82e-09,0,0,0.455,0.141,0.404,Yes,No
chr5:140079919-140086248,ZMAT2,GTEx Pituita...,-5.3,1.16e-07,0,0,0.932,0.024,0.044,Yes,No
chr5:140079919-140086248,ZMAT2,GTEx Thyroid,-6.185,6.21e-10,0,0,0.553,0.366,0.081,No,No
chr5:140080031-140086239,ZMAT2,CMC DLPFC,-6.202,5.58e-10,0,0,0,0.832,0.168,No,No
chr5:140165876-140168446,PCDHA1,GTEx Cerebel...,6.39906,1.56e-10,0,0,0.002,0.214,0.784,No,No
chr5:140165876-140168446,PCDHA1,GTEx Pituita...,6.662,2.7e-11,0,0,0.475,0.126,0.398,Yes,No
chr5:140174444-140185206,PCDHA2,GTEx Cerebel...,6.2485,4.14e-10,0,0,0,0.105,0.895,Yes,Yes
chr5:140174444-140185206,PCDHA2,GTEx Frontal...,-6.185,6.21e-10,0,0,0.923,0.028,0.05,Yes,No
chr5:140174444-140391929,PCDHA2,PsychENCODE,-5.50917,3.61e-08,0,0,0,0.103,0.897,Yes,Yes
chr5:140174444-140185206,PCDHA2,GTEx Pituita...,6.627,3.43e-11,0,0,0.015,0.287,0.698,No,No
chr5:140180783-140183257,PCDHA3,GTEx Cerebel...,7.50997,5.91e-14,0,0,0,0.115,0.885,Yes,Yes
chr5:140180783-140183257,PCDHA3,GTEx Cerebel...,6.922,4.45e-12,0,0,0,0.056,0.944,Yes,Yes
chr5:140180783-140183257,PCDHA3,GTEx Pituita...,6.8678,6.52e-12,0,0,0.127,0.076,0.797,Yes,No
chr5:140186659-140189169,PCDHA4,GTEx Adrenal...,-5.17372,2.29e-07,0,0,0.259,0.136,0.604,Yes,No
chr5:140186659-140189169,PCDHA4,GTEx Amygdal...,-5.8872,3.93e-09,0,0,0.3,0.125,0.574,Yes,No
chr5:140186659-140189169,PCDHA4,GTEx Caudate...,-6.514,7.32e-11,0,0,0.627,0.167,0.205,Yes,No
chr5:140186659-140189169,PCDHA4,GTEx Hippoca...,-6.514,7.32e-11,0,0,0.606,0.177,0.217,Yes,No
chr5:140186659-140189169,PCDHA4,GTEx Pituita...,-6.0794,1.21e-09,0,0,0.21,0.155,0.636,Yes,No
chr5:140186659-140189169,PCDHA4,GTEx Thyroid,-6.687,2.28e-11,0,0,0,0.221,0.779,No,No
chr5:140201222-140203811,PCDHA5,GTEx Thyroid,-7.237165,4.58e-13,0,0,0.186,0.095,0.718,Yes,No
chr5:140213968-140391929,PCDHA7,CMC DLPFC,-6.58822,4.45e-11,0,0,0,0.044,0.956,Yes,Yes
chr5:140213969-140216338,PCDHA7,GTEx ACC ,-6.162,7.18e-10,0,0,0.92,0.03,0.05,Yes,No
chr5:140213969-140216338,PCDHA7,GTEx Cerebel...,-5.46832,4.54e-08,0,0,0.657,0.16,0.183,Yes,No
chr5:140213969-140216338,PCDHA7,GTEx Cortex,-6.6616,2.71e-11,0,0,0.082,0.335,0.583,No,No
chr5:140213969-140216338,PCDHA7,GTEx Hippoca...,-6.128,8.9e-10,0,0,0.906,0.045,0.049,Yes,No
chr5:140213969-140391929,PCDHA7,PsychENCODE,-7.17729,7.11e-13,0,0,0,0.223,0.777,No,No
chr5:140213969-140216338,PCDHA7,GTEx Thyroid,-6.406229,1.49e-10,0,0,0.018,0.475,0.507,No,No
chr5:140220907-140223351,PCDHA8,GTEx Cerebel...,-6.58655,4.5e-11,0,0,0.015,0.833,0.152,No,No
chr5:140220907-140223351,PCDHA8,GTEx Cerebel...,-6.687,2.28e-11,0,0,0.705,0.238,0.057,No,No
chr5:140220907-140223351,PCDHA8,GTEx Cortex,-6.8668,6.56e-12,0,0,0.676,0.209,0.115,No,No
chr5:140220907-140223351,PCDHA8,GTEx Frontal...,-7.728,1.09e-14,0,0,0.336,0.491,0.174,No,No
chr5:140220907-140391929,PCDHA8,PsychENCODE,-6.9399,3.92e-12,0,0,0,0.123,0.877,Yes,Yes
chr5:140227048-140233744,PCDHA9,GTEx ACC ,5.2655,1.4e-07,0,0,0.232,0.665,0.103,No,No
chr5:140227048-140233744,PCDHA9,GTEx Cortex,6.7667,1.32e-11,0,0,0.007,0.782,0.211,No,No
chr5:140227048-140233744,PCDHA9,GTEx Frontal...,6.128,8.9e-10,0,0,0.149,0.841,0.01,No,No
chr5:140235595-140238021,PCDHA10,GTEx Amygdal...,-5.6069,2.06e-08,0,0,0.693,0.154,0.153,Yes,No
chr5:140235595-140238021,PCDHA10,GTEx ACC ,-5.3159,1.06e-07,0,0,0.086,0.88,0.034,No,No
chr5:140235595-140238021,PCDHA10,GTEx Caudate...,-6.1376,8.38e-10,0,0,0.062,0.849,0.089,No,No
chr5:140235595-140238021,PCDHA10,GTEx Cerebel...,-5.90125,3.61e-09,0,0,0.002,0.866,0.132,No,No
chr5:140235595-140238021,PCDHA10,GTEx Cortex,-4.9434,7.68e-07,0,0,0.007,0.945,0.047,No,No
chr5:140235595-140238021,PCDHA10,GTEx Frontal...,-5.694,1.24e-08,0,0,0,0.911,0.089,No,No
chr5:140235595-140238021,PCDHA10,GTEx Hypotha...,-6.4952,8.29e-11,0,0,0.515,0.417,0.068,No,No
chr5:140240341-140243224,AC005609.1,GTEx Cerebel...,5.528,3.24e-08,0,0,0.847,0.113,0.04,Yes,No
chr5:140247830-140391929,PCDHA11,CMC DLPFC,-6.167,6.96e-10,0,0,0,0.848,0.152,No,No
chr5:140248689-140251079,PCDHA11,GTEx Hippoca...,-5.5896,2.28e-08,0,0,0.496,0.196,0.308,Yes,No
chr5:140261793-140264247,PCDHA13,GTEx Amygdal...,5.4154,6.12e-08,0,0,0.441,0.444,0.114,No,No
chr5:140261793-140264247,PCDHA13,GTEx ACC ,5.6288,1.81e-08,0,0,0.017,0.979,0.004,No,No
chr5:140261793-140264247,PCDHA13,GTEx Caudate...,6.743,1.55e-11,0,0,0,0.995,0.005,No,No
chr5:140261793-140264247,PCDHA13,GTEx Cerebel...,6.162,7.18e-10,0,0,0,0.999,0.001,No,No
chr5:140261793-140264247,PCDHA13,GTEx Cerebel...,6.167,6.96e-10,0,0,0,0.999,0.001,No,No
chr5:140261793-140264247,PCDHA13,GTEx Cortex,6.167,6.96e-10,0,0,0,0.999,0.001,No,No
chr5:140261793-140264247,PCDHA13,GTEx Frontal...,6.167,6.96e-10,0,0,0,0.998,0.001,No,No
chr5:140261793-140264247,PCDHA13,GTEx Hippoca...,6.162,7.18e-10,0,0,0.879,0.074,0.047,Yes,No
chr5:140261793-140264247,PCDHA13,GTEx Nucleus...,6.162,7.18e-10,0,0,0.261,0.725,0.014,No,No
chr5:140261793-140264247,PCDHA13,GTEx Putamen...,6.162,7.18e-10,0,0,0.259,0.727,0.015,No,No
chr5:140261793-140391929,PCDHA13,PsychENCODE,5.93802,2.88e-09,0,0,0,0.756,0.244,No,No
chr5:140261793-140264247,PCDHA13,GTEx Thyroid,5.093614,3.51e-07,0,0,0,0.999,0.001,No,No
chr5:140261853-140391929,PCDHA13,CMC DLPFC,6.07861,1.21e-09,0,0,0,0.908,0.092,No,No
chr5:140261853-140391929,PCDHA13,CMC DLPFC Sp...,6.60432,3.99e-11,0,0,0,0.907,0.093,No,No
chr5:140306301-140391929,PCDHAC1,CMC DLPFC,-6.40572,1.5e-10,0,0,0.48,0.098,0.423,Yes,No
chr5:140498262-140500347,AC005754.8,GTEx Pituita...,5.9643,2.46e-09,0,0,0.541,0.071,0.388,Yes,No
chr5:143550396-143865249,KCTD16,PsychENCODE,6.15571,7.47e-10,0,0,0.001,0.734,0.265,No,No
chr5:152869175-153193429,GRIA1,PsychENCODE,-5.18114,2.21e-07,0,0,0.204,0.739,0.056,No,No
chr5:152869828-153193429,GRIA1,GTEx Thyroid,5.173646,2.3e-07,0,0,0.759,0.214,0.027,No,No
chr5:152870083-153193429,GRIA1,CMC DLPFC Sp...,-6.289,3.2e-10,0,0,0,1,0,No,No
